table,categories,attribute(s),effect_size,missing,Pleft,Pright,Ptot,se,cohesion_categories,cohesion_attributes
vectorsNish,malemax vs. femalemax,homemax,-0.12013259069250865,"['wedding', 'caregiving', 'fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities']",0.3196803196803197,0.6813186813186813,0.6403596403596403,0.25431102413088297,0.002997002997002997,
vectorsNish,malemax vs. femalemax,readingmax,0.4617184548053346,"['writing', 'reading', 'narrative', 'nonfiction', 'fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities']",0.962037962037962,0.03896103896103896,0.07992007992007992,0.25922939301111936,0.012987012987012988,
vectorsNish,malemax vs. femalemax,artsmax,0.06372648191369747,"['dancing', 'dancer', 'jig', 'singing', 'painting', 'painter', 'drawing', 'symphony', 'artistry', 'fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities']",0.5954045954045954,0.40559440559440557,0.7912087912087912,0.24741327574601785,0.008991008991008992,
vectorsNish,malemax vs. femalemax,workmax,0.6939550927348689,"['executive', 'hiring', 'fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities']",0.997002997002997,0.003996003996003996,0.005994005994005994,0.25677597263292307,0.005994005994005994,
vectorsNish,malemax vs. femalemax,mathmax,0.6811963224052037,"['counting', 'calculator', 'subtraction', 'algebra', 'equations', 'computation', 'fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities']",0.997002997002997,0.003996003996003996,0.006993006993006993,0.25177834607821103,0.002997002997002997,
vectorsNish,malemax vs. femalemax,sciencemax,0.2844320817645546,"['chemistry', 'chemist', 'spaceship', 'Einstein', 'NASA', 'atom', 'molecule', 'fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities']",0.8691308691308691,0.13186813186813187,0.24875124875124874,0.23523420570277784,0.003996003996003996,
vectorsNish,malemax vs. femalemax,good,0.28869371692697693,"['lovable', 'relaxing', 'excited', 'fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities']",0.8761238761238761,0.12487512487512488,0.2517482517482518,0.2521568203145399,0.00999000999000999,
vectorsNish,malemax vs. femalemax,bad,0.6502988239345886,"['mourning', 'fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities']",0.9920079920079921,0.008991008991008992,0.011988011988011988,0.25760804413899696,0.002997002997002997,
vectorsNish,instruments vs. weapons,good,1.398613999798249,"['lovable', 'relaxing', 'excited', 'harpsichord', 'dynamite', 'slingshot']",1.0,0.000999000999000999,0.001998001998001998,0.4378754768756886,0.000999000999000999,
vectorsNish,instruments vs. weapons,bad,-0.7453904497652926,"['mourning', 'harpsichord', 'dynamite', 'slingshot']",0.03396603396603397,0.967032967032967,0.07392607392607392,0.4168338329324423,0.000999000999000999,
vectorsNish,flowers vs. insects,pleasant,0.31020747336770893,"['diploma', 'aster', 'clover', 'hyacinth', 'marigold', 'poppy', 'azalea', 'crocus', 'orchid', 'rose', 'bluebell', 'daffodil', 'lilac', 'tulip', 'peony', 'carnation', 'gladiola', 'zinnia', 'flea', 'locust', 'bedbug', 'centipede', 'maggot', 'tarantula', 'gnat', 'termite', 'blackfly', 'horsefly', 'roach', 'weevil']",0.7472527472527473,0.25374625374625376,0.5044955044955045,0.4432666039690995,0.016983016983016984,
vectorsNish,flowers vs. insects,unpleasant,-0.45866979654003553,"['pollute', 'aster', 'clover', 'hyacinth', 'marigold', 'poppy', 'azalea', 'crocus', 'orchid', 'rose', 'bluebell', 'daffodil', 'lilac', 'tulip', 'peony', 'carnation', 'gladiola', 'zinnia', 'flea', 'locust', 'bedbug', 'centipede', 'maggot', 'tarantula', 'gnat', 'termite', 'blackfly', 'horsefly', 'roach', 'weevil']",0.17382617382617382,0.8271728271728271,0.34765234765234765,0.45237252405615885,0.014985014985014986,
vectorsNish,malemax vs. femalemax,unpleasant vs. pleasant,0.37140507778647897,"['fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities', 'pollute', 'diploma']",0.9210789210789211,0.07992007992007992,0.16283716283716285,0.2543705704452962,0.003996003996003996,0.000999000999000999
vectorsNish,malemax vs. femalemax,bad vs. good,0.5822993075777204,"['fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities', 'mourning', 'lovable', 'relaxing', 'excited']",0.9920079920079921,0.008991008991008992,0.01998001998001998,0.24151446753331582,0.007992007992007992,0.000999000999000999
vectorsNish,malemax vs. femalemax,workmax vs. homemax,0.7044296285246641,"['fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities', 'executive', 'hiring', 'wedding', 'caregiving']",0.998001998001998,0.002997002997002997,0.006993006993006993,0.2526593027251378,0.005994005994005994,0.000999000999000999
vectorsNish,malemax vs. femalemax,sciencemax vs. artsmax,0.24103594169618975,"['fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities', 'chemistry', 'chemist', 'spaceship', 'Einstein', 'NASA', 'atom', 'molecule', 'dancing', 'dancer', 'jig', 'singing', 'painting', 'painter', 'drawing', 'symphony', 'artistry']",0.8401598401598401,0.16083916083916083,0.32167832167832167,0.2472895489480776,0.003996003996003996,0.000999000999000999
vectorsNish,malemax vs. femalemax,mathmax vs. readingmax,0.07562019136876301,"['fraternity', 'bachelor', 'stepson', 'fatherhood', 'fraternities', 'pa', 'gal', 'granddaughter', 'gentlewoman', 'sorority', 'bachelorette', 'dame', 'gentlewomen', 'stepdaughter', 'maiden', 'godmother', 'missus', 'heroine', 'sororities', 'counting', 'calculator', 'subtraction', 'algebra', 'equations', 'computation', 'writing', 'reading', 'narrative', 'nonfiction']",0.6363636363636364,0.3646353646353646,0.7232767232767233,0.24757327530909123,0.01098901098901099,0.000999000999000999
vectorsNish,instruments vs. weapons,good vs. bad,1.5352963207067447,"['harpsichord', 'dynamite', 'slingshot', 'lovable', 'relaxing', 'excited', 'mourning']",1.0,0.000999000999000999,0.000999000999000999,0.4382079906570428,0.000999000999000999,0.000999000999000999
vectorsNish,instruments vs. weapons,pleasant vs. unpleasant,1.2718444953071133,"['harpsichord', 'dynamite', 'slingshot', 'diploma', 'pollute']",0.999000999000999,0.001998001998001998,0.002997002997002997,0.4385731014434936,0.001998001998001998,0.000999000999000999
vectorsNish,flowers vs. insects,good vs. bad,1.1211030915488727,"['aster', 'clover', 'hyacinth', 'marigold', 'poppy', 'azalea', 'crocus', 'orchid', 'rose', 'bluebell', 'daffodil', 'lilac', 'tulip', 'peony', 'carnation', 'gladiola', 'zinnia', 'flea', 'locust', 'bedbug', 'centipede', 'maggot', 'tarantula', 'gnat', 'termite', 'blackfly', 'horsefly', 'roach', 'weevil', 'lovable', 'relaxing', 'excited', 'mourning']",0.994005994005994,0.006993006993006993,0.011988011988011988,0.46229344398617983,0.01998001998001998,0.000999000999000999
vectorsNish,flowers vs. insects,pleasant vs. unpleasant,0.8327700304404565,"['aster', 'clover', 'hyacinth', 'marigold', 'poppy', 'azalea', 'crocus', 'orchid', 'rose', 'bluebell', 'daffodil', 'lilac', 'tulip', 'peony', 'carnation', 'gladiola', 'zinnia', 'flea', 'locust', 'bedbug', 'centipede', 'maggot', 'tarantula', 'gnat', 'termite', 'blackfly', 'horsefly', 'roach', 'weevil', 'diploma', 'pollute']",0.967032967032967,0.03396603396603397,0.06593406593406594,0.45472525519754053,0.017982017982017984,0.000999000999000999
